Date,Value
2025-11-19,60.27
2025-11-20,60.07
2025-11-21,58.86
2025-11-24,59.11
2025-11-25,58.25
2025-11-26,58.81
2025-11-27,59.1
2025-11-28,58.58
2025-12-01,59.47
2025-12-02,58.81
2025-12-03,59.09
2025-12-04,59.82
2025-12-05,60.23
2025-12-08,59.04
2025-12-09,58.4
2025-12-10,58.67
2025-12-11,57.76
2025-12-12,57.61
2025-12-15,56.97
2025-12-16,55.44
2025-12-17,56.07
2025-12-18,56.22
2025-12-19,56.8
2025-12-22,58.18
2025-12-23,58.55
2025-12-24,58.72
2025-12-25,58.35
2025-12-26,56.6
2025-12-29,57.89
2025-12-30,57.79
2025-12-31,57.26
2026-01-01,57.41
2026-01-02,57.21
2026-01-05,58.1
2026-01-06,56.97
2026-01-07,56.01
2026-01-08,57.74
2026-01-09,58.96
2026-01-12,59.39
2026-01-13,60.85
2026-01-14,61.84
2026-01-15,59.13
2026-01-16,59.4
2026-01-19,59.43
2026-01-20,60.3
2026-01-21,60.38
2026-01-22,59.24
2026-01-23,60.7
2026-01-26,60.46
2026-01-27,62.04
2026-01-28,62.75
2026-01-29,64.77
2026-01-30,64.5
2026-02-02,61.6
2026-02-03,62.62
2026-02-04,64.56
2026-02-05,62.9
2026-02-06,63.77
2026-02-09,64.53
2026-02-10,64.2
2026-02-11,64.8
2026-02-12,63.08
2026-02-13,63.05
2026-02-16,63.73
2026-02-17,62.53
2026-02-18,65.33
2026-02-19,66.66
2026-02-20,66.69
2026-02-23,66.36
2026-02-24,65.62
2026-02-25,65.3
2026-02-26,65.1
2026-02-27,66.96
2026-03-02,71.13
2026-03-03,74.48
2026-03-04,74.58
2026-03-05,80.88
2026-03-06,90.77
2026-03-09,94.65
2026-03-10,83.71
2026-03-11,86.8
2026-03-12,95.61
2026-03-13,98.48
2026-03-16,93.39
2026-03-17,96.01
2026-03-18,96.12
2026-03-19,96.11
2026-03-20,98.71
2026-03-23,89.33
2026-03-24,88.78
2026-03-25,90.32
2026-03-26,93.79
2026-03-27,99.64
2026-03-30,106.38
2026-03-31,101.38
2026-04-01,102.05
